codsap,desproducto,desunidadnegocio,desmarca,descategoria,desgrupoarticulo,desclase,largo,ancho,volumen,pesobruto
200113178,ES YOU COL EDT EDL 90 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,62,32,321,260
200099196,LB LE TEMPO SKY PARFUM 90 ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,79,41,437,327
200113244,LB MITHYKA LIBERTE PERF 50ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,45,42,292,226
200102092,CZ SL LL LIQ CCG ROSE NUDE,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,15,15,24,16
210102563,CY BOLSO GAETANA,MODA,CYZONE,COMPLEMENTOS,COMPLEM. DE VESTIR,COMPLEM. DE VESTIR,250,60,2550,310
200105222,ES TAC NUTR 55+ HIDR REPA 120G,COSMETICOS,ESIKA,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,79,79,407,184
200083916,LB REVE SENSUELLE EDP 50ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,88,37,322,206
200100528,ES WINNER TECH PARFUM 90ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,76,40,415,290
200109271,LB SATIN ROUGE EDP EDL 50 ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,52,52,487,190
200091875,ES PRO KIT CEJAS OJOS 4.7 GR,COSMETICOS,ESIKA,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,91,77,144,91
200102282,ES PRODEL PLU CC NEGRO EXTREMO,COSMETICOS,ESIKA,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,86,18,26,13
200098788,LB DEFEN TOTAL SIN COLOR 30 ML,COSMETICOS,LBEL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,38,26,118,58
210101983,CY BOLSO KORA,MODA,CYZONE,COMPLEMENTOS,COMPLEM. DE VESTIR,COMPLEM. DE VESTIR,320,240,1536,240
200082481,CZ SCORE EDT 50 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,62,38,273,177
200109873,CZ NEW COOL EDP 75 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,45,50,275,217
200095663,CZ NITRO AIR ROLL ON CC 50ML,COSMETICOS,CYZONE,CUIDADO PERSONAL,CUIDADO PERSONAL,CUIDADO PERSONAL,48,48,245,80
200112454,ES WINNER SPORT EDT EDL 100 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,74,45,448,300
200101421,ES UNO PARF 90 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,76,48,461,342
200114940,ES EXPRE EDP CELEBRATE EDL50ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,48,43,357,218
200089508,ES MANOS Y UÑAS CC 180 G,COSMETICOS,ESIKA,TRATAMIENTO CORPORAL,TRATAMIENTO CORPORAL,TRATAMIENTO CORPORAL,80,50,720,213
210102579,CY MOCHILA MORENA,MODA,CYZONE,COMPLEMENTOS,COMPLEM. DE VESTIR,COMPLEM. DE VESTIR,400,60,9600,290
200113693,ES GRAZZIA V2 EDP 50 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,64,64,371,157
200106386,CZ MM MOON GLOW COL 100 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,56,38,392,315
200106446,ES CFX LL 24H VINO CHIC,COSMETICOS,ESIKA,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,15,15,24,14
200109538,LB MITHYKA LUMIERE PARF 50ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,45,42,292,226
210102573,CY MOCHILA LEVANA,MODA,CYZONE,COMPLEMENTOS,COMPLEM. DE VESTIR,COMPLEM. DE VESTIR,250,40,3000,240
200103923,CZ SL LL LIQUIDO SANGRIA,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,15,15,24,16
210102559,CY BOLSO VIVI,MODA,CYZONE,COMPLEMENTOS,COMPLEM. DE VESTIR,COMPLEM. DE VESTIR,240,150,1260,290
200105070,LB EFP SOMB KIT CEJAS 4.4 G FM,COSMETICOS,LBEL,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,81,80,152,78
200084778,CY BE SEXY CREM C RIZO 192 G,COSMETICOS,CYZONE,CUIDADO PERSONAL,CUIDADO PERSONAL,CUIDADO PERSONAL,48,48,392,227
200103356,ES PRO FULL BSTR  AZUL,COSMETICOS,ESIKA,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,23,23,67,35
200101074,CZ STUDIO LOOK MASC BLACK 9GR,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,23,22,63,26
200101449,CZ FIST TEAM EDT 50 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,58,37,245,172
210102577,CY MOCHILA ENITH,MODA,CYZONE,COMPLEMENTOS,COMPLEM. DE VESTIR,COMPLEM. DE VESTIR,320,40,4480,330
210098462,CZ CY DETWIST BLACK SWAN MATTE,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,9,9,9,8
200106444,ES CFX LL 24H ROJO IMPARABLE,COSMETICOS,ESIKA,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,15,15,24,14
200095157,CY MISS SEXY CR 130ML,COSMETICOS,CYZONE,TRATAMIENTO CORPORAL,TRATAMIENTO CORPORAL,TRATAMIENTO CORPORAL,56,42,407,152
210097536,CZ MYMO CR SCRUB SANDIA 180G,COSMETICOS,CYZONE,TRATAMIENTO CORPORAL,TRATAMIENTO CORPORAL,TRATAMIENTO CORPORAL,72,72,321,222
200103452,LB DRY EFFECT ROLL ON CC 50 ML,COSMETICOS,LBEL,CUIDADO PERSONAL,CUIDADO PERSONAL,CUIDADO PERSONAL,48,48,245,80
200098633,LB ROSE DAMELIE PARFUM 45ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,60,39,252,220
200112352,CZ B&B EDP F HER EDL2022 75 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,62,37,314,233
200083615,CZ FLIRTY GIRL SEXY EDP 50 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,63,42,315,180
200104532,LB BODY&SPIR PASS COL CC 100ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,55,46,473,312
200095864,LB MON L'BEL PARFUM 40ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,53,44,252,220
200104393,LB LIASSON LOC PERF 160 ML DTV,COSMETICOS,LBEL,TRATAMIENTO CORPORAL,TRATAMIENTO CORPORAL,TRATAMIENTO CORPORAL,80,50,640,199
200105180,CZ XYBOD CLAR DESROLL CC 50 ML,COSMETICOS,CYZONE,CUIDADO PERSONAL,CUIDADO PERSONAL,CUIDADO PERSONAL,48,48,245,80
200100107,ES PRO PERLAS DE SOL,COSMETICOS,ESIKA,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,74,74,186,90
200094217,ES DORSAY PERFUME CC 90 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,83,38,426,288
200103025,ES LPI TALCO CC NUEVO 500 G,COSMETICOS,ESIKA,CUIDADO PERSONAL,CUIDADO PERSONAL,CUIDADO PERSONAL,84,84,1679,589
200039855,CZ NITRO EDT 100 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,45,90,547,308
200100539,ES WINNER SPORT EDT CC 100ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,74,45,448,300
200105011,CZ DANCING NIGHT EDP CC 90 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,43,41,326,277
200105017,CZ PRINTS EDP CC 30 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,26,26,123,68
200086399,LB MITHYKA EDP QUP 50 ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,43,38,294,202
200103354,ES PRO FULL BSTR  NEGRO,COSMETICOS,ESIKA,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,23,23,67,35
200105005,CZ DANCING EDP CC 90 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,43,41,326,277
200104254,ES YOU COL EDT CC 90 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,62,32,321,260
200106852,LB BLEU INTENSE PARF CC 100ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,89,45,503,353
200098673,ES VIBRANZA PERFUME 45 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,61,40,281,210
200102430,ES PULSO ABS PARFUM CCG 100 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,63,49,509,328
200084882,LB LIASSON PERFUME QUP 50 ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,50,50,330,178
200060760,CZ NITRO AIR EDT 100 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,45,90,547,308
200102045,ES LEY ABSOL PARFUM CCG 100 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,63,49,509,328
200100866,ES MAGN SEL PARFUM CC 90 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,76,39,406,288
200090428,ES FANTASIA AZUL EDP CC 50 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,49,36,247,158
200111352,ES MAGNAT EXCLUSIVE EDT 90 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,75,39,389,278
200100838,ES MAGNAT PARF CC 90ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,76,39,406,288
200091732,ES CARDIGAN EDT CC 90 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,70,38,340,290
200093883,ES MEN ACTIVE COL CCE 200 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,46,46,402,228
200111162,CZ NITRO NIGTH EDT 100 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,45,90,547,308
200096892,ES DORSAY CLASS PARF 90ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,83,38,426,288
200106290,ES DORSAY INSPIRE PARF 90 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,83,38,426,278
200109890,CZ SL MASC MAGNETIC LASH BLACK,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,20,20,54,32
200095964,CZ PERA IN LOVE COL CC 200 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,42,42,379,217
200089168,CZ SWEET BLACK EDP 50 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,68,47,326,194
200113706,ES WINNER ACTION EDT 100 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,74,45,448,300
200094936,CZ TASTE COOL COL 200 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,42,42,379,217
200106312,ES COLORS REDROSE COL 200ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,46,46,402,228
200106854,LB BLEUINT NIGHT PARF CC 100ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,89,45,503,353
200097947,CZ SWEET BLACK INTENS EDP 50ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,68,47,326,194
200105335,LB LIVE POLO PARFUM 100 ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,89,45,503,353
200105218,ES TAC NUTR 55+ HIDR REPA 200G,COSMETICOS,ESIKA,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,93,93,692,264
200106348,ES EXUS COLONIA CC 100ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,61,44,454,328
200102351,ES PRODEL PIN CC NEGRO EXTREMO,COSMETICOS,ESIKA,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,86,18,25,13
200106356,CZ GIRLINK EDP CC 50ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,107,34,309,188
200105041,ES SALVAJE COLOGNE CC 90 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,75,41,381,286
200091269,LB LIGNE EXPT ACE MULTI 90 ML,COSMETICOS,LBEL,CUIDADO PERSONAL,CUIDADO PERSONAL,CUIDADO PERSONAL,51,38,287,133
200106360,CZ NITRO ULTIMATE EDP 90 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,75,36,349,291
200105008,CZ DANCING SUNSET EDP 90 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,43,41,326,277
200092744,CZ B&B HER EDP CC 75 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,62,37,314,233
200094066,CZ MISS SEX COL CC 200 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,42,42,379,217
200093884,ES MEN EXTREME COLONIA  200 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,46,46,402,228
200095931,ES IMPREDECIBLE EDP 50 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,77,41,320,225
200099686,CZ TASTE POP COL 200ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,42,42,379,217
200108160,LB SATIN ROUGE PARFUM CC 50 ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,40,40,264,189
200082678,ES MINI CHI COL RU D CC 120 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,65,46,377,150
200086172,CY NITRO INTENSE EDT 100 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,45,90,547,308
200088259,ES EXPRESSION SENS EDP 50ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,48,43,357,218
200106274,ES RED POWER PARF 50 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,65,38,291,225
200085506,LB HOMMO33 EDT QUP 100 ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,79,40,433,340
200091295,ES RED INTENSE EDP CC 50 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,86,32,264,163
200073557,LB ESS DEMQ CC 125 ML,COSMETICOS,LBEL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,45,33,232,152
200091709,CZ FIST EDT 50 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,62,40,289,186
200083596,LB UV DEFE BLOQ ROS&CUE 80 ML,COSMETICOS,LBEL,TRATAMIENTO CORPORAL,TRATAMIENTO CORPORAL,TRATAMIENTO CORPORAL,73,40,345,130
200103405,ES PRO FULL VOLUME NEGRO,COSMETICOS,ESIKA,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,20,20,54,32
200083952,LB ID EDT UNISEX 100 ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,76,37,453,300
200114037,LB ESSENT DESMAQ BIF CCF 125ML,COSMETICOS,LBEL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,45,33,232,152
200105219,ES TAC ACLA ACLARANT 120G,COSMETICOS,ESIKA,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,79,79,407,184
200094941,CZ TASTE WARM COL 200 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,42,42,379,217
200105207,LB LIVE ADV PARFUM CC 100ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,89,45,503,353
200095430,CZ NITRO DESO ROLLON 50ML,COSMETICOS,CYZONE,CUIDADO PERSONAL,CUIDADO PERSONAL,CUIDADO PERSONAL,48,48,245,80
200082674,ES MINI CHI COL KELL CC 120 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,65,46,377,150
200092742,CZ B&B HIM EDT CC 75 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,62,37,314,233
200109443,ES VIBRANZA ADDICT PARF 45 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,61,40,281,210
200095895,CZ IN LOVE EDP CC 50 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,59,47,408,170
200111319,LB FLEUR PARFUM 50 ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,76,40,287,230
200099310,ES MEN COOL ICE COL 200ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,46,46,402,228
200105079,CZ PRINTS XPERIENCE PARF 30ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,26,26,123,68
200095911,CZ SANDIA SHAKE COL CC 200 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,42,42,379,217
200098555,ES VIBRANZA BLA PARF 2020 45ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,61,40,281,210
200109875,LB SATIN NUDE PERF 50ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,40,40,264,189
