codsap,desproducto,desunidadnegocio,desmarca,descategoria
200102351,ES PRODEL PIN CC NEGRO EXTREMO,COSMETICOS,ESIKA,MAQUILLAJE
200093884,ES MEN EXTREME COLONIA  200 ML,COSMETICOS,ESIKA,FRAGANCIAS
200103354,ES PRO FULL BSTR  NEGRO,COSMETICOS,ESIKA,MAQUILLAJE
200090428,ES FANTASIA AZUL EDP CC 50 ML,COSMETICOS,ESIKA,FRAGANCIAS
200095931,ES IMPREDECIBLE EDP 50 ML,COSMETICOS,ESIKA,FRAGANCIAS
200098377,ES KROMO BLACK PARF 90 ML,COSMETICOS,ESIKA,FRAGANCIAS
200102430,ES PULSO ABS PARFUM CCG 100 ML,COSMETICOS,ESIKA,FRAGANCIAS
200106290,ES DORSAY INSPIRE PARF 90 ML,COSMETICOS,ESIKA,FRAGANCIAS
200088259,ES EXPRESSION SENS EDP 50ML,COSMETICOS,ESIKA,FRAGANCIAS
200105218,ES TAC NUTR 55+ HIDR REPA 200G,COSMETICOS,ESIKA,TRATAMIENTO FACIAL
200106279,ES COLORS GOLDVANIL COL 200 ML,COSMETICOS,ESIKA,FRAGANCIAS
200098673,ES VIBRANZA PERFUME 45 ML,COSMETICOS,ESIKA,FRAGANCIAS
200088133,ES VANI SCE EDP QUP 50 ML,COSMETICOS,ESIKA,FRAGANCIAS
200102045,ES LEY ABSOL PARFUM CCG 100 ML,COSMETICOS,ESIKA,FRAGANCIAS
200105655,ES MULTICAR VITAL SH 2EN1 CC1L,COSMETICOS,ESIKA,CUIDADO PERSONAL
200091295,ES RED INTENSE EDP CC 50 ML,COSMETICOS,ESIKA,FRAGANCIAS
200091732,ES CARDIGAN EDT CC 90 ML,COSMETICOS,ESIKA,FRAGANCIAS
200093883,ES MEN ACTIVE COL CCE 200 ML,COSMETICOS,ESIKA,FRAGANCIAS
200082674,ES MINI CHI COL KELL CC 120 ML,COSMETICOS,ESIKA,FRAGANCIAS
200103025,ES LPI TALCO CC NUEVO 500 G,COSMETICOS,ESIKA,CUIDADO PERSONAL
200100810,ES ALTHEUS EDT 75 ML,COSMETICOS,ESIKA,FRAGANCIAS
200082678,ES MINI CHI COL RU D CC 120 ML,COSMETICOS,ESIKA,FRAGANCIAS
200083952,LB ID EDT UNISEX 100 ML,COSMETICOS,LBEL,FRAGANCIAS
200109875,LB SATIN NUDE PERF 50ML,COSMETICOS,LBEL,FRAGANCIAS
200111319,LB FLEUR PARFUM 50 ML,COSMETICOS,LBEL,FRAGANCIAS
200083940,LB DEVOS MAGNETIC EDT 100 ML,COSMETICOS,LBEL,FRAGANCIAS
200083596,LB UV DEFE BLOQ ROS&CUE 80 ML,COSMETICOS,LBEL,TRATAMIENTO CORPORAL
200084882,LB LIASSON PERFUME QUP 50 ML,COSMETICOS,LBEL,FRAGANCIAS
200108160,LB SATIN ROUGE PARFUM CC 50 ML,COSMETICOS,LBEL,FRAGANCIAS
200085506,LB HOMMO33 EDT QUP 100 ML,COSMETICOS,LBEL,FRAGANCIAS
